Name,Ticker,Price,Last Filing,Market Cap ($M),Revenue Growth,Gross Margin,LTM FCF,LTM FCF %,Rule of 40 (LTM FCF),Rule of 40 (Quarter FCF),EV / Revenue Run Rate,EV / LTM Revenue,EV / NTM Revenue,EV / 2020 Revenue,EV / 2021 Revenue,EV / 2022 Revenue,EV / 2023 Revenue,EV / 2021 Gross Profit,EV / NTM Gross Profit,Net Dollar Retention,Quarter FCF,Quarter FCF %,LTM Free Cash Flow Growth %,EBITDA,EBITDA %,LTM EBITDA,EV / LTM EBITDA,Quarter Magic Number,LTM CAC Ratio,Current CAC Ratio,LTM Mean Payback Period,Quarter CAC Payback Period,Implied 5yr LTV ($K),Implied CAC,Implied 5yr LTV/CAC,ARR Per Customer ($K),ARR / Employee ($K),Annualized Opex / Employee,Run Rate/Employees,R&D %,G&A %,S&M %,Annualized Revenue Run Rate ($M),ARR Type,ARR ($M),ARR Growth,Growth Persistence,Last Year Quarter Growth,Operating Income %,Rule of 40 (Op In Margin),2020 Revenue,2021 Analyst Revenue Estimates,US Revenue %,Last Year Run Rate ($M),LTM Revenue ($M),LTM Revenue Growth,NTM Revenue Growth,NTM Revenue Updated,EV / LTM Free Cash Flow,Enterprise Value,Total Cash,Net Cash,Consensus Revenue (Mean),Consensus Revenue Beat (Mean),Founding Year,IPO Year,Multiple on IPO,% of 52 Week High,Last Reported Employees,Earnings Link
Alteryx,AYX,"$82.15","2021-03-31","$5,515","9%","91%","$53","10%","20%","26%","11.4x","10.7x","9.1x","10.9x","9.5x","8.0x","6.5x","10.5x","10.0x","120%","$20,325","17%","130%","-25,128","-21%","411",,,,,,,"634","525145.0","1.2","71","342","365.0","317.0","26%","28%","61%","$475","Reported ARR","$513","27%","21%","43%","-24%","-15%","$495","$569","65%","$435","$505","12%","17%","2021-05-25","102.1x","$5,413","$839","$101","105,674","12%","1997","2017","4.8x","45%","1498",https://www.sec.gov/Archives/edgar/data/1689923/000168992321000050/ayx-20210331.htm
AppFolio,APPF,"$140.42","2021-03-31","$4,845","9%","58%","$3","1%","10%","-6%","15.2x","15.2x","13.1x","15.5x","13.6x",,,"23.6x","22.6x",,"$-11,515","-15%",,"1,700","2%","29,029","165.5x","1.7","1.0","1.0","11.7","12.3",,,,,,,,,"17%","21%","$315","Revenue * 4","$315","9%","33%","27%","-7%","2%","$310","$352",,"$289","$316","17%","16%","2021-05-14","1600.0x","$4,800","$45",,"78,160","1%","2006","2015","11.6x","76%",,https://www.sec.gov/Archives/edgar/data/1433195/000143319521000044/appf-20210331.htm
Zuora,ZUO,"$15.11","2021-04-30","$1,834","9%","59%","$4","1%","10%","19%","5.1x","5.3x","4.7x","5.4x","4.9x","4.3x","3.8x","8.3x","8.0x","103%","$8,286","10%",,"-13,262","-17%","-57,608",,"0.1","0.1","0.1","93.0","154.2",,,,,,,,"24%","18%","40%","$321","Subscription Revenue * 4","$260","15%","57%","15%","-22%","-13%","$305","$334",,"$295","$311","9%","11%","2021-05-29","410.3x","$1,641","$197","$192","79,000","2%","2006","2018","0.8x","86%",,
Paylocity,PCTY,"$174.54","2021-03-31","$9,509","8%","69%","$79","13%","22%","39%","12.5x","15.6x","12.7x","16.0x","13.3x","11.0x","9.3x","19.3x","18.3x",,"$57,146","31%","-2%","50,142","27%","97,410","96.1x","4.2","1.3","2.9","9.0","4.1",,,,,,,,"10%","17%","22%","$744","Reported ARR","$744","8%","36%","23%","21%","29%","$584","$700",,"$686","$598","9%","23%","2021-05-15","118.1x","$9,327","$182",,"185,446","0%","1997","2014",,"81%",,https://www.sec.gov/Archives/edgar/data/1591698/000155837021006389/pcty-20210331x10q.htm
Nutanix,NTNX,"$34.48","2021-04-30","$7,162","8%","78%","$-131","-10%","-2%","-13%","5.0x","5.2x","4.7x","5.3x","4.8x","4.3x","3.8x","6.2x","6.0x",,"$-71,494","-21%",,"-157,051","-46%","-595,579",,,,,,,,"395562.1",,"63",,,,"42%","12%","76%","$1,378","Subscription Revenue * 4","$1,229","18%","77%","11%","-52%","-44%","$1,305","$1,435",,"$1,273","$1,331","4%","11%","2021-05-29","-53.0x","$6,945","$1,255","$217","336,622","2%","2009","2016","1.3x","98%",,
New Relic,NEWR,"$67.30","2021-03-31","$4,293","8%","67%","$37","6%","14%","21%","5.7x","5.9x","5.5x","6.0x","5.6x","5.0x","4.5x","8.4x","8.3x","99%","$21,788","13%","32%","-31,311","-18%","-82,088",,"0.3","0.1","0.2","115.6","65.4",,,,,"310","313.0","318.0","25%","18%","55%","$690","Reported ARR","$674","5%","39%","21%","-31%","-23%","$654","$698",,"$638","$667","11%","7%","2021-05-26","106.1x","$3,927","$816","$367","166,990","3%","2007","2014",,"83%","2168",https://www.sec.gov/Archives/edgar/data/1448056/000144805621000025/newr-20210331.htm#i9a2157392d2f4d9ea72814acfd5d34f9_76
Yext,YEXT,"$14.48","2021-04-30","$1,828","8%","76%","$-15","-4%","4%","38%","4.2x","4.3x","3.9x","4.4x","4.1x","3.6x","3.0x","5.4x","5.1x",,"$27,606","30%",,"-13,515","-15%","-70,091",,,,,,,,,,,,,,"15%","20%","60%","$367","Revenue * 4","$367","8%","32%","24%","-19%","-11%","$354","$380","79%","$341","$361","15%","10%","2021-06-02","-103.7x","$1,556","$272",,"88,520","4%","2006","2017","1.0x","72%",,
Tyler Technologies,TYL,"$424.52","2021-03-31","$17,294","7%","49%","$347","31%","37%","29%","13.6x","14.1x","13.0x","14.4x","13.3x","12.3x",,"27.2x","26.7x",,"$65,139","22%","39%","59,308","20%","260,013","61.7x",,,,,,,,,,,,,"7%","27%",,"$1,179","Reported ARR","$886","13%","55%","12%","13%","20%","$1,116","$1,206",,"$1,106","$1,134","2%","8%","2021-05-04","46.2x","$16,044","$1,251",,"288,272","2%","1966","1969",,"89%",,https://www.sec.gov/Archives/edgar/data/860731/000086073121000025/tyl-20210331.htm
Cloudera,CLDR,"$15.81","2021-04-30","$4,620","7%","81%","$239","27%","34%","78%","5.5x","5.6x","5.3x","5.7x","5.4x","4.9x","4.5x","6.7x","6.5x",,"$160,635","72%","1607%","-14,124","-6%","-47,762",,,,,,,,,,,,,,"29%","18%","48%","$897","Subscription Revenue * 4","$802","7%","54%","12%","-15%","-8%","$869","$916","57%","$841","$883","8%","6%","2021-03-16","20.7x","$4,937","$169","$-317","217,293","3%","2008","2017","0.9x","83%",,https://www.sec.gov/Archives/edgar/data/1535379/000162828021011680/cldr-20210430.htm
CyberArk Software,CYBR,"$136.59","2021-03-31","$5,221","6%","81%","$98","21%","26%","33%","10.5x","10.1x","9.4x","10.2x","9.7x","8.6x","6.8x","11.9x","11.5x",,"$31,310","28%","-20%","-11,996","-11%","4,435","1187.3x",,,,,,,,,,,,,"26%","14%","54%","$451","Revenue * 4","$451","6%","49%","11%","-14%","-8%","$464","$492",,"$427","$470","6%","8%","2021-05-27","48.5x","$4,749","$978","$472","109,630","3%","1999","2014",,"82%",,
Ceridian HCM Holding,CDAY,"$87.71","2021-03-31","$13,090","5%","40%","$-96","-11%","-6%","-3%","14.8x","16.2x","13.5x","16.5x","13.8x","12.1x","10.0x","34.8x","34.0x",,"$-19,800","-8%",,,,,,,,,,,,,,,,,,"11%","41%",,"$938","Reported ARR","$811","6%","57%","9%",,,"$842","$1,003",,"$890","$854","1%","20%","2021-06-03","-144.5x","$13,874","$340","$-784","222,631","5%",,,,"80%",,
Check Point Software,CHKP,"$120.25","2021-03-31","$16,510","4%","89%","$1,156","55%","60%","77%","7.2x","7.0x","6.8x","7.1x","6.9x","6.7x","6.6x","7.7x","7.6x",,"$370,700","73%","9%","221,600","44%","945,700","15.5x",,,,,,,,,,,,,"13%","5%","28%","$2,030","Subscription Revenue * 4","$709","12%","139%","3%","42%","47%","$2,064","$2,136",,"$1,946","$2,086","4%","3%","2021-05-28","12.7x","$14,634","$1,876",,"502,069","1%","1993","1996",,"87%",,https://www.sec.gov/Archives/edgar/data/1015922/000117891321001446/zk2125926.htm
SolarWinds,SWI,"$17.30","2021-03-31","$5,462","4%","73%","$309","30%","34%","12%","6.8x","6.8x","6.5x","6.9x","6.6x","6.1x",,"9.1x","9.0x","104%","$21,125","8%","5%","67,683","26%","357,531","19.6x",,,,,,"11",,,"2",,,,"15%","19%","32%","$1,027","Reported ARR","$928","10%","28%","14%","-1%","3%","$1,019","$1,059",,"$987","$1,029","7%","4%","2021-05-04","22.6x","$6,988","$374","$-1,525","255,960","0%","1999","2018","1.1x","73%",,https://www.sec.gov/Archives/edgar/data/1739942/000173994221000080/swi-20210331.htm
Blackbaud,BLKB,"$75.63","2021-03-31","$3,692","-2%","53%","$131","14%","12%","6%","4.8x","4.6x","4.6x","4.6x","4.7x",,,"8.8x","8.7x",,"$17,331","8%","21%","27,105","12%","126,855","33.5x",,,,,,,,,,,,,"13%","14%","22%","$876","Reported ARR","$827","1%",,"4%","3%","1%","$913","$905","85%","$894","$908",,"1%","2021-05-04","32.2x","$4,215","$28","$-523","218,773","0%","1981","2004",,"96%",,https://www.sec.gov/Archives/edgar/data/1280058/000128005821000021/blkb-20210331.htm
Guidewire Software,GWRE,"$109.46","2021-04-30","$9,102","-2%","44%","$86","11%","9%","-5%","12.8x","11.0x","11.0x","11.0x","11.1x","10.4x",,"25.4x","25.1x",,"$-4,019","-2%","26%","-38,769","-24%","-21,745",,,,,,,,,,,,,,"33%","14%","25%","$655","Reported ARR","$538","11%",,"3%","-29%","-31%","$761","$750",,"$672","$757","7%","0%","2021-06-08","97.1x","$8,354","$1,088","$748","157,915","4%","2001","2012",,"83%",,https://www.sec.gov/Archives/edgar/data/1528396/000152839621000028/gwre-20210430.htm
SAP SE,SAP,"$141.95","2021-03-31","$174,386","-3%","70%","$6,552","25%","22%","44%","7.1x","6.9x","5.4x","6.9x","5.5x","5.3x","5.0x","7.8x","7.7x",,"$2,932,000","46%","146%","1,397,000","22%","10,897,000","16.6x",,,,,,,,,"1,548",,,,"18%","8%","26%","$25,392","Revenue * 4","$25,392","-3%",,"7%","15%","12%","$26,308","$32,938","40%","$26,084","$26,135","-7%","27%","2021-06-08","27.6x","$181,017","$10,332","$-6,631","7,705,190","-18%","1972","1995",,"84%",,https://www.sap.com/docs/download/investors/2021/sap-2021-q1-statement.pdf
Eventbrite,EB,"$20.81","2021-03-31","$1,950","-43%","51%","$-72","-86%","-129%","101%","15.4x","20.3x",,"16.1x","8.8x","5.7x","4.6x","17.2x",,,"$40,051","144%",,"-20,555","-74%","-65,324",,,,,,,,,,,,,,"55%","68%","20%","$111","Revenue * 4",,,,"-40%","-93%","-136%","$106","$195","72%","$196","$84","-71%",,"2021-05-20","-23.7x","$1,709","$593","$241","24,557","13%","2008","2018","0.6x","81%",,https://www.sec.gov/Archives/edgar/data/1475115/000147511521000048/eb-20210331.htm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median,,"$93.98",,"$9,120","23%","74%","$56","10%","34%","40%","12.1x","13.2x","11.5x","14.1x","11.6x","10.2x","8.9x","17.2x","17.2x","118%","$21,788","14%","39%",,"-11%",,"87.9x","0.6","0.5","0.4","22.8","27.7",,"118615.3","4.5",,,"274.0","295.0","25%","17%","41%","$765",,"$702","25%","83%","29%","-15%","15%","$654","$843","69%","$602","$703","24%","20%",,"44.5x","$8,844","$595","$67",,"3%",,,"3.0x","82%",,
Mean,,"$147.46",,"$44,733","30%","71%","$898","10%","38%","46%","16.1x","18.2x","14.4x","19.8x","15.0x","12.4x","10.3x","21.6x","20.8x","117%","$313,396","16%","163%",,"-9%",,"487.0x","0.9","0.7","0.6","27.5","65.7",,"774757.9","6.2",,,"279.4","322.2","26%","19%","41%","$3,345",,"$1,456","29%","112%","32%","-15%","15%","$3,068","$3,591","68%","$2,776","$3,113","29%","22%",,"46.1x","$43,572","$2,462","$1,083",,"4%",,,"5.0x","80%",,
